Serial Number,Data,Random Value,4-Digit Number,Status
68,PES2202100068,486,5641,Active
69,PES2202100069,139,2692,Active
70,PES2202100070,447,6057,Active
71,PES2202100071,336,7300,Active
72,PES2202100072,335,7509,Active
73,PES2202100073,362,8306,Inactive
74,PES2202100074,124,7242,Active
75,PES2202100075,231,9604,Active
76,PES2202100076,198,3813,Active
77,PES2202100077,207,1306,Active
78,PES2202100078,198,3994,Inactive
79,PES2202100079,250,7678,Active
80,PES2202100080,109,7567,Active
81,PES2202100081,419,2517,Inactive
82,PES2202100082,164,7993,Active
83,PES2202100083,140,7505,Active
84,PES2202100084,157,2950,Active
85,PES2202100085,290,5687,Inactive
86,PES2202100086,180,7501,Active
87,PES2202100087,458,7430,Inactive
88,PES2202100088,367,8387,Inactive
89,PES2202100089,424,7511,Inactive
90,PES2202100090,447,1238,Inactive
91,PES2202100091,152,7574,Active
92,PES2202100092,425,8113,Inactive
93,PES2202100093,444,4426,Inactive
94,PES2202100094,327,9332,Inactive
95,PES2202100095,269,2734,Active
96,PES2202100096,486,7537,Inactive
97,PES2202100097,410,6160,Active
98,PES2202100098,168,7632,Inactive
99,PES2202100099,279,8751,Inactive
100,PES2202100100,468,7408,Inactive
101,PES2202100101,181,9423,Inactive
102,PES2202100102,308,6350,Active
103,PES2202100103,178,7164,Inactive
104,PES2202100104,199,8151,Inactive
105,PES2202100105,351,9868,Inactive
106,PES2202100106,238,1888,Active
107,PES2202100107,392,8160,Active
108,PES2202100108,284,2508,Inactive
109,PES2202100109,258,7213,Inactive
110,PES2202100110,290,3574,Inactive
111,PES2202100111,195,4853,Inactive
112,PES2202100112,277,8369,Active
113,PES2202100113,108,7622,Active
114,PES2202100114,287,5435,Active
115,PES2202100115,284,1331,Inactive
116,PES2202100116,317,8375,Inactive
117,PES2202100117,123,4470,Active
118,PES2202100118,239,7154,Active
119,PES2202100119,467,3732,Active
120,PES2202100120,330,3522,Inactive
121,PES2202100121,443,9941,Active
122,PES2202100122,498,5010,Active
123,PES2202100123,315,6514,Inactive
124,PES2202100124,195,2477,Active
125,PES2202100125,223,3598,Active
126,PES2202100126,312,7293,Inactive
127,PES2202100127,393,6462,Inactive
128,PES2202100128,201,7220,Inactive
129,PES2202100129,426,6663,Active
130,PES2202100130,371,3182,Inactive
131,PES2202100131,171,1847,Active
132,PES2202100132,161,7485,Active
133,PES2202100133,171,4693,Active
134,PES2202100134,271,5669,Active
135,PES2202100135,229,1717,Inactive
136,PES2202100136,220,8291,Inactive
137,PES2202100137,255,6308,Inactive
138,PES2202100138,475,3987,Active
139,PES2202100139,401,8606,Inactive
140,PES2202100140,452,9282,Active
141,PES2202100141,426,4568,Inactive
142,PES2202100142,486,1101,Inactive
143,PES2202100143,218,5893,Active
144,PES2202100144,270,5179,Inactive
145,PES2202100145,393,4505,Active
146,PES2202100146,368,7178,Active
147,PES2202100147,146,8063,Inactive
148,PES2202100148,419,7547,Inactive
149,PES2202100149,345,6969,Active
150,PES2202100150,191,2650,Active
151,PES2202100151,409,5988,Inactive
152,PES2202100152,325,3586,Active
153,PES2202100153,198,4349,Active
154,PES2202100154,191,5374,Active
155,PES2202100155,471,1017,Active
156,PES2202100156,176,9098,Inactive
157,PES2202100157,171,4596,Inactive
158,PES2202100158,183,6253,Active
159,PES2202100159,217,3475,Active
160,PES2202100160,230,8796,Inactive
161,PES2202100161,375,6264,Active
162,PES2202100162,153,7020,Active
163,PES2202100163,398,8741,Active
164,PES2202100164,497,8404,Inactive
165,PES2202100165,148,4613,Active
166,PES2202100166,474,6576,Inactive
167,PES2202100167,194,4118,Inactive
168,PES2202100168,349,2734,Active
169,PES2202100169,458,1936,Active
170,PES2202100170,454,6066,Active
171,PES2202100171,213,2514,Active
172,PES2202100172,454,7571,Active
173,PES2202100173,486,5795,Active
174,PES2202100174,212,3473,Active
175,PES2202100175,483,8607,Inactive
176,PES2202100176,376,5833,Active
177,PES2202100177,164,3420,Inactive
178,PES2202100178,306,9931,Inactive
179,PES2202100179,258,1737,Inactive
180,PES2202100180,126,9700,Active
181,PES2202100181,269,5318,Active
182,PES2202100182,143,5292,Inactive
183,PES2202100183,195,4187,Active
184,PES2202100184,415,6763,Inactive
185,PES2202100185,371,7314,Inactive
186,PES2202100186,222,7783,Active
187,PES2202100187,279,3656,Inactive
188,PES2202100188,449,3628,Active
189,PES2202100189,338,1393,Inactive
190,PES2202100190,471,7480,Active
191,PES2202100191,282,7541,Active
192,PES2202100192,373,9914,Active
193,PES2202100193,420,2339,Inactive
194,PES2202100194,118,1215,Inactive
195,PES2202100195,210,8226,Inactive
196,PES2202100196,369,4737,Active
197,PES2202100197,269,4247,Inactive
198,PES2202100198,271,4983,Active
199,PES2202100199,273,9094,Active
200,PES2202100200,431,1723,Active
201,PES2202100201,242,4877,Active
202,PES2202100202,457,5943,Inactive
203,PES2202100203,242,1335,Active
204,PES2202100204,105,5929,Active
205,PES2202100205,347,3260,Active
206,PES2202100206,174,7927,Active
207,PES2202100207,333,6765,Active
208,PES2202100208,328,4514,Inactive
209,PES2202100209,253,5757,Inactive
210,PES2202100210,177,5079,Inactive
211,PES2202100211,133,6805,Active
212,PES2202100212,266,7090,Active
213,PES2202100213,279,9204,Inactive
214,PES2202100214,430,3260,Inactive
215,PES2202100215,236,6640,Inactive
216,PES2202100216,348,1375,Inactive
217,PES2202100217,154,8979,Active
218,PES2202100218,173,4516,Active
219,PES2202100219,335,7495,Active
220,PES2202100220,375,4223,Active
221,PES2202100221,102,9962,Active
222,PES2202100222,172,5008,Active
223,PES2202100223,242,1751,Active
224,PES2202100224,491,8777,Inactive
225,PES2202100225,377,9566,Active
226,PES2202100226,310,7256,Active
227,PES2202100227,119,1088,Active
228,PES2202100228,159,7181,Active
229,PES2202100229,428,6539,Inactive
230,PES2202100230,316,1071,Inactive
231,PES2202100231,494,4353,Active
232,PES2202100232,479,1087,Inactive
233,PES2202100233,188,1535,Inactive
234,PES2202100234,293,5303,Active
235,PES2202100235,115,4921,Inactive
236,PES2202100236,119,8039,Inactive
237,PES2202100237,340,2617,Inactive
238,PES2202100238,482,6678,Inactive
239,PES2202100239,124,6883,Inactive
240,PES2202100240,110,9576,Inactive
241,PES2202100241,249,4410,Active
242,PES2202100242,395,1323,Inactive
243,PES2202100243,342,6699,Active
244,PES2202100244,306,7949,Inactive
245,PES2202100245,162,6719,Inactive
246,PES2202100246,125,7508,Active
247,PES2202100247,429,5580,Active
248,PES2202100248,384,1084,Active
249,PES2202100249,456,7976,Active
250,PES2202100250,477,4360,Active
251,PES2202100251,256,6493,Inactive
252,PES2202100252,436,3324,Active
253,PES2202100253,135,5082,Active
254,PES2202100254,273,3250,Active
255,PES2202100255,422,7681,Active
256,PES2202100256,450,1043,Inactive
257,PES2202100257,248,8253,Active
258,PES2202100258,284,6623,Active
259,PES2202100259,351,2058,Active
260,PES2202100260,195,3490,Inactive
261,PES2202100261,104,9920,Inactive
262,PES2202100262,164,5035,Inactive
263,PES2202100263,445,1712,Inactive
264,PES2202100264,394,5523,Active
265,PES2202100265,211,8687,Inactive
266,PES2202100266,119,6355,Active
267,PES2202100267,466,8258,Active
268,PES2202100268,276,4802,Active
269,PES2202100269,379,4517,Active
270,PES2202100270,339,9842,Active
271,PES2202100271,127,6285,Inactive
272,PES2202100272,326,9164,Active
273,PES2202100273,487,9249,Inactive
274,PES2202100274,211,8667,Active
275,PES2202100275,266,9175,Active
276,PES2202100276,370,4038,Active
277,PES2202100277,184,5144,Active
278,PES2202100278,366,7433,Inactive
279,PES2202100279,185,7149,Inactive
280,PES2202100280,119,4430,Inactive
281,PES2202100281,149,6826,Inactive
282,PES2202100282,373,8255,Active
283,PES2202100283,302,1506,Inactive
284,PES2202100284,376,2144,Inactive
285,PES2202100285,450,9097,Inactive
286,PES2202100286,291,6674,Inactive
287,PES2202100287,298,3377,Active
288,PES2202100288,447,1436,Inactive
289,PES2202100289,369,8258,Inactive
290,PES2202100290,312,3421,Inactive
291,PES2202100291,494,6021,Inactive
292,PES2202100292,281,1874,Active
293,PES2202100293,384,5582,Active
294,PES2202100294,387,8653,Active
295,PES2202100295,439,8093,Active
296,PES2202100296,493,6089,Inactive
297,PES2202100297,477,4556,Active
298,PES2202100298,340,1248,Active
299,PES2202100299,453,6566,Inactive
300,PES2202100300,339,8174,Active
301,PES2202100301,370,9134,Active
302,PES2202100302,483,1445,Active
303,PES2202100303,383,4354,Active
304,PES2202100304,164,7729,Active
305,PES2202100305,223,9281,Active
306,PES2202100306,496,6259,Active
307,PES2202100307,361,6392,Active
308,PES2202100308,376,8028,Active
309,PES2202100309,305,3642,Inactive
310,PES2202100310,157,5166,Active
311,PES2202100311,382,7489,Inactive
312,PES2202100312,251,4144,Inactive
313,PES2202100313,427,2822,Inactive
314,PES2202100314,365,9382,Active
315,PES2202100315,429,6669,Inactive
316,PES2202100316,355,3801,Active
317,PES2202100317,451,6875,Active
318,PES2202100318,471,1789,Inactive
319,PES2202100319,250,4277,Inactive
320,PES2202100320,234,5694,Inactive
321,PES2202100321,145,4325,Inactive
322,PES2202100322,233,1519,Inactive
323,PES2202100323,388,4863,Inactive
324,PES2202100324,296,5118,Inactive
325,PES2202100325,241,3878,Inactive
326,PES2202100326,159,7404,Active
327,PES2202100327,235,9319,Active
328,PES2202100328,101,7211,Inactive
329,PES2202100329,499,1199,Active
330,PES2202100330,270,1661,Active
331,PES2202100331,107,5498,Inactive
332,PES2202100332,149,2197,Inactive
333,PES2202100333,162,1493,Active
334,PES2202100334,334,4056,Inactive
335,PES2202100335,493,4447,Inactive
336,PES2202100336,250,6402,Active
337,PES2202100337,288,1650,Active
338,PES2202100338,212,8998,Active
339,PES2202100339,365,1561,Inactive
340,PES2202100340,321,6568,Inactive
341,PES2202100341,370,4156,Inactive
342,PES2202100342,393,2189,Inactive
343,PES2202100343,224,4609,Inactive
344,PES2202100344,168,5058,Inactive
345,PES2202100345,485,7133,Active
346,PES2202100346,448,2604,Active
347,PES2202100347,121,3199,Active
348,PES2202100348,492,1491,Active
349,PES2202100349,172,5873,Inactive
350,PES2202100350,439,4191,Active
351,PES2202100351,438,1579,Active
352,PES2202100352,165,5140,Active
353,PES2202100353,421,1952,Inactive
354,PES2202100354,291,6857,Inactive
355,PES2202100355,249,7407,Inactive
356,PES2202100356,120,5425,Inactive
357,PES2202100357,435,8331,Inactive
358,PES2202100358,261,1008,Inactive
359,PES2202100359,305,1346,Inactive
360,PES2202100360,138,5383,Active
361,PES2202100361,463,7921,Inactive
362,PES2202100362,208,6206,Inactive
363,PES2202100363,236,2118,Active
364,PES2202100364,441,3001,Active
365,PES2202100365,250,6452,Active
366,PES2202100366,266,6455,Active
367,PES2202100367,435,5804,Active
368,PES2202100368,304,3705,Active
369,PES2202100369,269,8231,Active
370,PES2202100370,469,3322,Inactive
371,PES2202100371,181,6054,Active
372,PES2202100372,410,5343,Active
373,PES2202100373,443,8984,Active
374,PES2202100374,493,6306,Inactive
375,PES2202100375,150,5173,Inactive
376,PES2202100376,238,8981,Inactive
377,PES2202100377,397,1274,Active
378,PES2202100378,182,7041,Active
379,PES2202100379,123,1681,Active
380,PES2202100380,436,6631,Active
381,PES2202100381,454,9153,Inactive
382,PES2202100382,107,8078,Inactive
383,PES2202100383,234,9084,Active
384,PES2202100384,402,8032,Active
385,PES2202100385,493,3802,Inactive
386,PES2202100386,416,3648,Inactive
387,PES2202100387,466,7129,Inactive
388,PES2202100388,476,3111,Inactive
389,PES2202100389,239,7094,Active
390,PES2202100390,404,9662,Inactive
391,PES2202100391,245,6071,Inactive
392,PES2202100392,243,6417,Active
393,PES2202100393,342,8429,Inactive
394,PES2202100394,310,3219,Inactive
395,PES2202100395,182,3187,Inactive
396,PES2202100396,349,1509,Active
397,PES2202100397,414,2896,Active
398,PES2202100398,432,9410,Active
399,PES2202100399,477,3221,Inactive
400,PES2202100400,301,4306,Active
401,PES2202100401,321,9683,Inactive
402,PES2202100402,458,6520,Inactive
403,PES2202100403,393,7579,Active
404,PES2202100404,332,2705,Active
405,PES2202100405,394,7046,Active
406,PES2202100406,229,4145,Inactive
407,PES2202100407,433,2844,Inactive
408,PES2202100408,406,1884,Active
409,PES2202100409,215,4047,Active
410,PES2202100410,161,4123,Active
411,PES2202100411,458,1805,Inactive
412,PES2202100412,341,9409,Inactive
413,PES2202100413,452,5639,Inactive
414,PES2202100414,278,4824,Active
415,PES2202100415,383,3445,Inactive
416,PES2202100416,140,7945,Inactive
417,PES2202100417,136,2618,Active
418,PES2202100418,365,9447,Inactive
419,PES2202100419,363,1913,Active
420,PES2202100420,115,3842,Active
421,PES2202100421,332,1903,Active
422,PES2202100422,495,8057,Active
423,PES2202100423,111,6767,Active
424,PES2202100424,292,3221,Inactive
425,PES2202100425,340,7840,Inactive
426,PES2202100426,409,6592,Active
427,PES2202100427,305,7972,Inactive
428,PES2202100428,247,3313,Active
429,PES2202100429,194,8620,Active
430,PES2202100430,165,4109,Inactive
431,PES2202100431,110,6090,Inactive
432,PES2202100432,395,4854,Inactive
433,PES2202100433,175,3859,Active
434,PES2202100434,461,7440,Inactive
435,PES2202100435,278,4267,Active
436,PES2202100436,369,2405,Inactive
437,PES2202100437,390,2876,Inactive
438,PES2202100438,245,1870,Inactive
439,PES2202100439,322,3749,Active
440,PES2202100440,114,6134,Active
441,PES2202100441,145,5712,Active
442,PES2202100442,398,4985,Inactive
443,PES2202100443,422,9673,Inactive
444,PES2202100444,432,5139,Active
445,PES2202100445,190,1895,Inactive
446,PES2202100446,105,4120,Active
447,PES2202100447,312,5474,Active
448,PES2202100448,206,5829,Active
449,PES2202100449,435,7904,Inactive
450,PES2202100450,438,9430,Inactive
451,PES2202100451,407,7400,Inactive
452,PES2202100452,304,1532,Active
453,PES2202100453,285,1902,Active
454,PES2202100454,240,1122,Active
455,PES2202100455,440,9809,Inactive
456,PES2202100456,385,9979,Active
457,PES2202100457,246,2054,Active
458,PES2202100458,293,3468,Active
459,PES2202100459,195,3995,Active
460,PES2202100460,374,5271,Inactive
461,PES2202100461,440,6302,Inactive
462,PES2202100462,171,5655,Inactive
463,PES2202100463,307,4053,Active
464,PES2202100464,102,7962,Inactive
465,PES2202100465,386,2490,Active
466,PES2202100466,397,8466,Inactive
467,PES2202100467,429,2714,Inactive
468,PES2202100468,419,4149,Active
469,PES2202100469,341,9044,Active
470,PES2202100470,233,4905,Inactive
471,PES2202100471,109,4812,Inactive
472,PES2202100472,385,7110,Inactive
473,PES2202100473,325,6801,Inactive
474,PES2202100474,253,4287,Inactive
475,PES2202100475,152,1042,Active
476,PES2202100476,419,8885,Inactive
477,PES2202100477,367,3630,Inactive
478,PES2202100478,420,7172,Inactive
479,PES2202100479,141,2283,Active
480,PES2202100480,252,6590,Active
481,PES2202100481,196,6468,Active
482,PES2202100482,386,2077,Inactive
483,PES2202100483,301,9467,Active
484,PES2202100484,415,1314,Inactive
485,PES2202100485,154,5652,Active
486,PES2202100486,154,6029,Active
487,PES2202100487,168,8325,Inactive
488,PES2202100488,203,2908,Active
489,PES2202100489,267,8749,Inactive
490,PES2202100490,183,4897,Inactive
491,PES2202100491,174,4522,Active
492,PES2202100492,271,3561,Active
493,PES2202100493,497,6506,Active
494,PES2202100494,363,4391,Inactive
495,PES2202100495,461,2009,Inactive
496,PES2202100496,304,6836,Inactive
497,PES2202100497,401,4885,Inactive
498,PES2202100498,417,8715,Inactive
499,PES2202100499,215,6519,Inactive
500,PES2202100500,368,3541,Inactive
501,PES2202100501,376,2953,Inactive
502,PES2202100502,329,5235,Active
503,PES2202100503,148,1204,Active
504,PES2202100504,231,9880,Inactive
505,PES2202100505,352,3971,Active
506,PES2202100506,430,8588,Active
507,PES2202100507,353,8810,Active
508,PES2202100508,218,2093,Active
509,PES2202100509,291,5747,Active
510,PES2202100510,147,4641,Inactive
511,PES2202100511,468,3475,Active
512,PES2202100512,482,5748,Active
513,PES2202100513,498,2715,Inactive
514,PES2202100514,281,1458,Active
515,PES2202100515,393,8858,Inactive
516,PES2202100516,146,5457,Inactive
517,PES2202100517,244,4714,Inactive
518,PES2202100518,195,6070,Active
519,PES2202100519,168,3337,Active
520,PES2202100520,384,9170,Inactive
521,PES2202100521,418,2608,Inactive
522,PES2202100522,469,6785,Inactive
523,PES2202100523,483,4414,Active
524,PES2202100524,314,9024,Inactive
525,PES2202100525,282,1383,Active
526,PES2202100526,177,1964,Inactive
527,PES2202100527,194,7085,Active
528,PES2202100528,329,8737,Inactive
529,PES2202100529,306,9235,Inactive
530,PES2202100530,368,8894,Inactive
531,PES2202100531,415,7360,Active
532,PES2202100532,386,6296,Active
533,PES2202100533,203,3651,Inactive
534,PES2202100534,426,7540,Inactive
535,PES2202100535,182,4334,Inactive
536,PES2202100536,131,6148,Inactive
537,PES2202100537,214,7572,Active
538,PES2202100538,204,3803,Active
539,PES2202100539,296,5423,Inactive
540,PES2202100540,237,7842,Inactive
541,PES2202100541,318,9093,Inactive
542,PES2202100542,362,9587,Active
543,PES2202100543,239,6098,Inactive
544,PES2202100544,479,2339,Active
545,PES2202100545,183,5147,Active
546,PES2202100546,442,1906,Inactive
547,PES2202100547,365,1565,Inactive
548,PES2202100548,165,4951,Inactive
549,PES2202100549,422,6086,Inactive
550,PES2202100550,129,1994,Inactive
551,PES2202100551,209,4264,Inactive
552,PES2202100552,414,7643,Inactive
553,PES2202100553,368,4748,Inactive
554,PES2202100554,167,9935,Active
555,PES2202100555,320,7829,Inactive
556,PES2202100556,473,2307,Inactive
557,PES2202100557,124,7582,Inactive
558,PES2202100558,354,7304,Inactive
559,PES2202100559,106,5778,Active
560,PES2202100560,460,1338,Inactive
561,PES2202100561,127,7977,Active
562,PES2202100562,205,8299,Active
563,PES2202100563,243,9989,Active
564,PES2202100564,493,6275,Inactive
565,PES2202100565,493,5301,Active
566,PES2202100566,378,6359,Active
567,PES2202100567,301,2415,Active
568,PES2202100568,302,6573,Active
569,PES2202100569,494,8550,Inactive
570,PES2202100570,483,4969,Active
571,PES2202100571,104,9003,Inactive
572,PES2202100572,465,6959,Inactive
573,PES2202100573,445,9328,Active
574,PES2202100574,474,5395,Active
575,PES2202100575,162,3356,Active
576,PES2202100576,379,9382,Active
577,PES2202100577,330,5605,Inactive
578,PES2202100578,128,8452,Active
579,PES2202100579,434,5203,Active
580,PES2202100580,468,7626,Active
581,PES2202100581,490,9202,Active
582,PES2202100582,415,1196,Active
583,PES2202100583,108,3377,Active
584,PES2202100584,255,1172,Inactive
585,PES2202100585,473,6510,Inactive
586,PES2202100586,311,2662,Active
587,PES2202100587,481,3053,Active
588,PES2202100588,192,4449,Inactive
589,PES2202100589,226,1871,Inactive
590,PES2202100590,379,2842,Inactive
591,PES2202100591,485,1216,Inactive
592,PES2202100592,445,3521,Active
593,PES2202100593,277,5269,Active
594,PES2202100594,417,1614,Inactive
595,PES2202100595,121,1104,Inactive
596,PES2202100596,257,6817,Active
597,PES2202100597,389,3940,Inactive
598,PES2202100598,397,3203,Inactive
599,PES2202100599,409,6089,Active
600,PES2202100600,477,6580,Active
601,PES2202100601,266,9670,Active
602,PES2202100602,382,6344,Active
603,PES2202100603,262,7578,Active
604,PES2202100604,152,1640,Inactive
605,PES2202100605,427,7419,Inactive
606,PES2202100606,353,7023,Inactive
607,PES2202100607,399,4093,Active
608,PES2202100608,267,4301,Inactive
609,PES2202100609,397,6016,Inactive
610,PES2202100610,372,4075,Inactive
611,PES2202100611,249,4567,Inactive
612,PES2202100612,229,1884,Active
613,PES2202100613,414,9734,Inactive
614,PES2202100614,136,2601,Active
615,PES2202100615,447,3111,Active
616,PES2202100616,456,7265,Inactive
617,PES2202100617,265,1053,Active
618,PES2202100618,289,3258,Active
619,PES2202100619,289,7008,Active
620,PES2202100620,428,4465,Inactive
621,PES2202100621,343,4362,Active
622,PES2202100622,453,9768,Active
623,PES2202100623,442,6897,Active
624,PES2202100624,122,8658,Active
625,PES2202100625,232,1761,Active
626,PES2202100626,344,1038,Inactive
627,PES2202100627,398,3334,Inactive
628,PES2202100628,232,8026,Active
629,PES2202100629,433,9797,Active
630,PES2202100630,471,7040,Inactive
631,PES2202100631,473,9919,Active
632,PES2202100632,425,2985,Inactive
633,PES2202100633,412,9463,Inactive
634,PES2202100634,469,1822,Active
635,PES2202100635,169,2525,Active
636,PES2202100636,319,2388,Inactive
637,PES2202100637,200,2013,Active
638,PES2202100638,224,9020,Active
639,PES2202100639,182,6022,Inactive
640,PES2202100640,482,6558,Inactive
641,PES2202100641,483,1617,Active
642,PES2202100642,450,3798,Active
643,PES2202100643,178,4085,Active
644,PES2202100644,164,7461,Active
645,PES2202100645,167,1588,Active
646,PES2202100646,408,9588,Inactive
647,PES2202100647,176,3087,Inactive
648,PES2202100648,195,4578,Inactive
649,PES2202100649,427,9952,Active
650,PES2202100650,216,3725,Inactive
651,PES2202100651,447,2386,Inactive
652,PES2202100652,433,5016,Inactive
653,PES2202100653,298,3699,Inactive
654,PES2202100654,422,9924,Active
655,PES2202100655,216,2157,Active
656,PES2202100656,299,7344,Active
657,PES2202100657,149,2788,Inactive
658,PES2202100658,334,9516,Active
659,PES2202100659,381,8309,Inactive
660,PES2202100660,147,9085,Active
661,PES2202100661,147,8109,Inactive
662,PES2202100662,425,8029,Inactive
663,PES2202100663,147,8927,Inactive
664,PES2202100664,435,6528,Active
665,PES2202100665,259,4540,Active
666,PES2202100666,331,2126,Active
667,PES2202100667,476,3283,Active
668,PES2202100668,481,2318,Inactive
669,PES2202100669,167,5890,Active
670,PES2202100670,231,2311,Inactive
671,PES2202100671,497,4011,Active
672,PES2202100672,377,5873,Active
673,PES2202100673,372,7290,Inactive
674,PES2202100674,307,4434,Active
675,PES2202100675,403,4908,Active
676,PES2202100676,271,3041,Active
677,PES2202100677,474,4398,Active
678,PES2202100678,357,3032,Inactive
679,PES2202100679,110,4287,Inactive
680,PES2202100680,196,1729,Active
681,PES2202100681,179,1295,Active
682,PES2202100682,363,3836,Inactive
683,PES2202100683,164,5228,Active
684,PES2202100684,276,8656,Active
685,PES2202100685,457,9047,Inactive
686,PES2202100686,121,5579,Inactive
687,PES2202100687,185,7764,Inactive
688,PES2202100688,207,4352,Inactive
689,PES2202100689,202,3055,Active
690,PES2202100690,409,2600,Inactive
691,PES2202100691,145,7258,Inactive
692,PES2202100692,226,9244,Inactive
693,PES2202100693,335,7696,Inactive
694,PES2202100694,372,2817,Inactive
695,PES2202100695,435,3024,Active
696,PES2202100696,376,6997,Active
697,PES2202100697,480,1125,Inactive
698,PES2202100698,261,1571,Active
699,PES2202100699,364,7887,Active
700,PES2202100700,321,4020,Inactive
701,PES2202100701,412,6112,Active
702,PES2202100702,160,1007,Inactive
703,PES2202100703,305,9993,Active
704,PES2202100704,367,4664,Inactive
705,PES2202100705,166,2443,Active
706,PES2202100706,148,8565,Inactive
707,PES2202100707,321,6610,Inactive
708,PES2202100708,154,7142,Active
709,PES2202100709,136,6107,Active
710,PES2202100710,473,1894,Active
711,PES2202100711,300,5793,Active
712,PES2202100712,328,6756,Active
713,PES2202100713,114,3322,Inactive
714,PES2202100714,461,7457,Inactive
715,PES2202100715,161,6219,Active
716,PES2202100716,469,3783,Inactive
717,PES2202100717,150,9175,Inactive
718,PES2202100718,406,4340,Inactive
719,PES2202100719,293,2499,Active
720,PES2202100720,179,4147,Inactive
721,PES2202100721,275,7342,Inactive
722,PES2202100722,107,1707,Active
723,PES2202100723,241,6179,Inactive
724,PES2202100724,149,9872,Inactive
725,PES2202100725,237,1221,Active
726,PES2202100726,326,6229,Active
727,PES2202100727,407,5152,Inactive
728,PES2202100728,170,1609,Active
729,PES2202100729,146,8582,Inactive
730,PES2202100730,484,4293,Active
731,PES2202100731,130,9189,Inactive
732,PES2202100732,339,1223,Active
733,PES2202100733,300,6736,Inactive
734,PES2202100734,327,3511,Inactive
735,PES2202100735,173,4546,Inactive
736,PES2202100736,124,2404,Active
737,PES2202100737,347,6059,Inactive
738,PES2202100738,458,6577,Inactive
739,PES2202100739,197,5021,Active
740,PES2202100740,105,4132,Active
741,PES2202100741,113,5082,Inactive
742,PES2202100742,493,1814,Inactive
743,PES2202100743,111,2793,Active
744,PES2202100744,490,2866,Active
745,PES2202100745,223,9258,Active
746,PES2202100746,421,3104,Inactive
747,PES2202100747,332,1710,Inactive
748,PES2202100748,153,6218,Inactive
749,PES2202100749,498,7450,Inactive
750,PES2202100750,474,7985,Inactive
751,PES2202100751,393,7182,Inactive
752,PES2202100752,182,7871,Active
753,PES2202100753,117,8462,Inactive
754,PES2202100754,270,1923,Active
755,PES2202100755,304,3165,Inactive
756,PES2202100756,146,8323,Active
757,PES2202100757,106,6981,Inactive
758,PES2202100758,119,2309,Active
759,PES2202100759,166,5198,Inactive
760,PES2202100760,460,1841,Inactive
761,PES2202100761,241,3125,Inactive
762,PES2202100762,346,1061,Inactive
763,PES2202100763,351,4753,Active
764,PES2202100764,320,2774,Active
765,PES2202100765,180,6730,Inactive
766,PES2202100766,470,3934,Active
767,PES2202100767,389,9272,Inactive
768,PES2202100768,341,6375,Active
769,PES2202100769,399,4822,Inactive
770,PES2202100770,480,6951,Active
771,PES2202100771,388,7151,Inactive
772,PES2202100772,319,1199,Inactive
773,PES2202100773,464,2698,Inactive
774,PES2202100774,306,7477,Inactive
775,PES2202100775,235,9767,Active
776,PES2202100776,153,8342,Active
